rank,level,function,calls,time
0,0,Integrator.update_domain,33614,421.64536142349243
0,0,acceleration_eval_0,16807,317.9520835876465
0,0,Solver.post_step_callback,16807,61.2035174369812
0,0,Solver.dump_output,50,12.726686477661133
0,0,nnps.update,16807,6.467830181121826
0,0,Integrator.initialize,16807,2.0188894271850586
0,0,Integrator.stage1,16807,1.0154860019683838
0,0,Integrator.stage2,16807,0.8547499179840088
0,0,Solver.pre_step_callback,16807,0.06519508361816406
0,0,Solver._get_timestep,16808,0.06516098976135254
0,0,Integrator.initial_acceleration,1,0.019662857055664062
0,1,AccelerationEval.Group_8,16808,120.91457653045654
0,1,AccelerationEval.Group_6,16808,105.13151788711548
0,1,AccelerationEval.Group_5,16808,48.780312061309814
0,1,AccelerationEval.Group_35,16639,45.56667160987854
0,1,AccelerationEval.Group_3,16808,39.167094469070435
0,1,AccelerationEval.Group_34,1681,7.989829063415527
0,1,AccelerationEval.Group_31,1681,4.400137901306152
0,1,AccelerationEval.Group_2,16808,2.286000967025757
0,1,AccelerationEval.Group_33,1681,2.1547040939331055
0,1,AccelerationEval.Group_7,16808,0.6403460502624512
0,1,AccelerationEval.Group_4,16808,0.4472925662994385
0,1,AccelerationEval.Group_9,16808,0.41069579124450684
0,1,AccelerationEval.Group_36,1681,0.12658333778381348
0,1,AccelerationEval.Group_32,1681,0.038887977600097656
0,2,AccelerationEval.Group_8_d_fluid_s_fluid.loop,16808,120.02307868003845
0,2,AccelerationEval.Group_6_d_fluid_s_fluid.loop,16808,104.40444326400757
0,2,AccelerationEval.Group_5_d_fluid_s_fluid.loop,16808,48.08373808860779
0,2,AccelerationEval.Group_35_d_fluid_s_fluid.loop,16639,43.27841782569885
0,2,AccelerationEval.Group_3_d_fluid_s_fluid.loop,16808,38.85135102272034
0,2,AccelerationEval.Group_34_d_fluid_s_fluid.loop,1681,7.903575658798218
0,2,AccelerationEval.Group_31_d_fluid_s_fluid.loop,1681,4.260956048965454
0,2,AccelerationEval.Group_2_d_fluid.initialize,16808,2.258417844772339
0,2,AccelerationEval.Group_33_d_fluid_s_fluid.loop,1681,2.061386823654175
0,2,AccelerationEval.Group_52.py_initialize,16639,0.7744770050048828
0,2,AccelerationEval.Group_6_d_fluid.initialize,16808,0.6864120960235596
0,2,AccelerationEval.Group_5_d_fluid.initialize,16808,0.6595659255981445
0,2,AccelerationEval.Group_7_d_fluid.initialize,16808,0.6157810688018799
0,2,AccelerationEval.Group_35_d_fluid.post_loop,16639,0.5936729907989502
0,2,AccelerationEval.Group_35_d_fluid.initialize,16639,0.5613212585449219
0,2,AccelerationEval.Group_4_d_fluid.initialize,16808,0.42360830307006836
0,2,AccelerationEval.Group_8_d_fluid.post_loop,16808,0.42303991317749023
0,2,AccelerationEval.Group_8_d_fluid.initialize,16808,0.4144573211669922
0,2,AccelerationEval.Group_9_d_fluid.initialize,16808,0.3876795768737793
0,2,AccelerationEval.Group_3_d_fluid.initialize,16808,0.27594995498657227
0,2,AccelerationEval.Group_35_d_fluid.reduce,16639,0.23005175590515137
0,2,AccelerationEval.Group_31_d_fluid.initialize,1681,0.13355112075805664
0,2,AccelerationEval.Group_36_d_fluid.post_loop,1681,0.12392067909240723
0,2,AccelerationEval.Group_33_d_fluid.initialize,1681,0.08918619155883789
0,2,AccelerationEval.Group_34_d_fluid.initialize,1681,0.08196592330932617
0,2,AccelerationEval.Group_32_d_fluid.initialize,1681,0.03397989273071289
0,2,AccelerationEval.Group_32_d_fluid_s_fluid.loop,1681,0.0007333755493164062
